,No,0.02,0.04,0.06,0.08,0.1
0,0.875,0.875,0.875,0.875,0.875,0.8333333134651184
1,0.875,0.875,0.8333333134651184,0.8333333134651184,0.875,0.7916666865348816
2,0.875,0.875,0.875,0.8333333134651184,0.875,0.8333333134651184
3,0.875,0.875,0.875,0.875,0.875,0.9166666865348816
4,0.875,0.875,0.875,0.875,0.9166666865348816,0.9166666865348816
5,0.875,0.875,0.875,0.8333333134651184,0.8333333134651184,0.75
6,0.875,0.875,0.875,0.875,0.8333333134651184,0.7083333134651184
7,0.875,0.875,0.875,0.875,0.8333333134651184,0.875
8,0.875,0.875,0.875,0.875,0.875,0.7916666865348816
9,0.875,0.875,0.875,0.8333333134651184,0.875,0.8333333134651184
10,0.875,0.875,0.875,0.875,0.8333333134651184,0.75
11,0.875,0.875,0.875,0.875,0.875,0.7083333134651184
12,0.875,0.875,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.75
13,0.875,0.875,0.875,0.8333333134651184,0.8333333134651184,0.8333333134651184
14,0.875,0.875,0.875,0.8333333134651184,0.875,0.7916666865348816
15,0.875,0.875,0.875,0.875,0.8333333134651184,0.7916666865348816
16,0.875,0.875,0.875,0.875,0.875,0.7916666865348816
17,0.875,0.875,0.875,0.8333333134651184,0.875,0.875
18,0.875,0.875,0.8333333134651184,0.875,0.875,0.7916666865348816
19,0.875,0.875,0.875,0.8333333134651184,0.875,0.875
20,0.875,0.875,0.8333333134651184,0.875,0.7916666865348816,0.8333333134651184
21,0.875,0.875,0.875,0.8333333134651184,0.8333333134651184,0.75
22,0.875,0.875,0.8333333134651184,0.8333333134651184,0.875,0.8333333134651184
23,0.875,0.875,0.875,0.875,0.875,0.8333333134651184
24,0.875,0.875,0.875,0.875,0.875,0.7916666865348816
25,0.875,0.875,0.875,0.875,0.8333333134651184,0.8333333134651184
26,0.875,0.875,0.875,0.875,0.875,0.75
27,0.875,0.875,0.8333333134651184,0.875,0.875,0.8333333134651184
28,0.875,0.875,0.875,0.8333333134651184,0.8333333134651184,0.7916666865348816
29,0.875,0.875,0.875,0.875,0.875,0.8333333134651184
30,0.875,0.875,0.875,0.8333333134651184,0.875,0.8333333134651184
31,0.875,0.875,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.7916666865348816
32,0.875,0.875,0.8333333134651184,0.875,0.8333333134651184,0.75
33,0.875,0.875,0.8333333134651184,0.8333333134651184,0.9166666865348816,0.8333333134651184
34,0.875,0.875,0.875,0.875,0.875,0.7916666865348816
35,0.875,0.875,0.875,0.875,0.875,0.7916666865348816
36,0.875,0.875,0.875,0.875,0.875,0.7916666865348816
37,0.875,0.875,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.875
38,0.875,0.875,0.875,0.9166666865348816,0.875,0.875
39,0.875,0.875,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184
40,0.875,0.875,0.875,0.875,0.8333333134651184,0.7916666865348816
41,0.875,0.875,0.875,0.875,0.875,0.8333333134651184
42,0.875,0.875,0.875,0.8333333134651184,0.8333333134651184,0.7083333134651184
43,0.875,0.875,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.7083333134651184
44,0.875,0.875,0.875,0.875,0.8333333134651184,0.7083333134651184
45,0.875,0.875,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.7083333134651184
46,0.875,0.8333333134651184,0.875,0.875,0.8333333134651184,0.875
47,0.875,0.875,0.875,0.875,0.875,0.7916666865348816
48,0.875,0.875,0.875,0.875,0.875,0.7916666865348816
49,0.875,0.875,0.8333333134651184,0.8333333134651184,0.875,0.875
